V_kmh,V_ms,CL_required,mass_kg,sref_m2,cref_m,bref_m,cg_x_m,cg_y_m,cg_z_m,rho,alpha_trim_deg,delta_e_trim_deg,CL_trim,CD_trim,CM_trim,L_D_trim,trim_valid,Cma_per_deg,Cma_per_rad,Cmde_per_deg,Cmde_per_rad,elevator_margin_up_deg,elevator_margin_down_deg,elevator_authority_score,Cma_fit_points,Cmde_fit_points,drag_N,shaft_power_W,electrical_power_W,aux_power_W,total_power_W,endurance_min,range_km
30,8.333333333333334,2.2250740113813174,1.8,0.186575,0.23273934761978787,0.995,0.032,0.0,0.007,1.225,,,,,,,False,,,,,,,,,,,,,10.0,,,
31,8.61111111111111,2.083836222937759,1.8,0.186575,0.23273934761978787,0.995,0.032,0.0,0.007,1.225,,,,,,,False,,,,,,,,,,,,,10.0,,,
32,8.88888888888889,1.9556314553156111,1.8,0.186575,0.23273934761978787,0.995,0.032,0.0,0.007,1.225,,,,,,,False,,,,,,,,,,,,,10.0,,,
33,9.166666666666666,1.8389041416374532,1.8,0.186575,0.23273934761978787,0.995,0.032,0.0,0.007,1.225,,,,,,,False,,,,,,,,,,,,,10.0,,,
34,9.444444444444445,1.7323240573037941,1.8,0.186575,0.23273934761978787,0.995,0.032,0.0,0.007,1.225,,,,,,,False,,,,,,,,,,,,,10.0,,,
35,9.722222222222221,1.634748253259744,1.8,0.186575,0.23273934761978787,0.995,0.032,0.0,0.007,1.225,,,,,,,False,,,,,,,,,,,,,10.0,,,
36,10.0,1.5451902856814708,1.8,0.186575,0.23273934761978787,0.995,0.032,0.0,0.007,1.225,,,,,,,False,,,,,,,,,,,,,10.0,,,
37,10.277777777777777,1.4627951864449864,1.8,0.186575,0.23273934761978787,0.995,0.032,0.0,0.007,1.225,,,,,,,False,,,,,,,,,,,,,10.0,,,
38,10.555555555555555,1.3868189821628714,1.8,0.186575,0.23273934761978787,0.995,0.032,0.0,0.007,1.225,,,,,,,False,,,,,,,,,,,,,10.0,,,
39,10.833333333333334,1.3166118410540342,1.8,0.186575,0.23273934761978787,0.995,0.032,0.0,0.007,1.225,,,,,,,False,,,,,,,,,,,,,10.0,,,
40,11.11111111111111,1.2516041314019912,1.8,0.186575,0.23273934761978787,0.995,0.032,0.0,0.007,1.225,,,,,,,False,,,,,,,,,,,,,10.0,,,
41,11.38888888888889,1.191294830602728,1.8,0.186575,0.23273934761978787,0.995,0.032,0.0,0.007,1.225,,,,,,,False,,,,,,,,,,,,,10.0,,,
42,11.666666666666666,1.135241842541489,1.8,0.186575,0.23273934761978787,0.995,0.032,0.0,0.007,1.225,,,,,,,False,,,,,,,,,,,,,10.0,,,
